Date;Date_2;Memo;Outflow;Tax;Sum;Currency;Category;Place
03.07.2024 05:57;03.07.2024;Комиссия за ежемесячное СМС информирование клиента;0.00;-49.00;-49.00;RUR;;
03.07.2024 16:53;03.07.2024;Customer to Business;-1500.00;0.00;-1500.00;RUR;Другое;
03.07.2024 19:08;04.07.2024;Покупка RUS GOLUBINKA MAGAZIN SUPERMARKET;-828.00;0.00;-828.00;RUR;Супермаркеты;
03.07.2024 19:22;04.07.2024;Покупка RUS s. Golubinka AZS ATAN 62;-3749.67;0.00;-3749.67;RUR;Топливо;
03.07.2024 19:32;04.07.2024;Покупка RUS s. Golubinka Magazin Koidesh;-500.00;0.00;-500.00;RUR;Супермаркеты;
03.07.2024 19:41;04.07.2024;Покупка RUS GOLUBINKA MAGAZIN EDAVODA\\";-2283.74;0.00;-2283.74;RUR;Супермаркеты;
03.07.2024 19:46;04.07.2024;Покупка RUS Golubinka Bakaleia;-740.00;0.00;-740.00;RUR;Супермаркеты;
03.07.2024 19:47;04.07.2024;Покупка RUS s. Golubinka Minimarket;-210.00;0.00;-210.00;RUR;Супермаркеты;
03.07.2024 20:15;04.07.2024;Покупка RUS s. Schastlivo IP Ziyadinova E. E.;-173.00;0.00;-173.00;RUR;Супермаркеты;
03.07.2024 20:19;04.07.2024;Покупка RUS c. Schastlivo IP Mustafaeva L.T.;-209.00;0.00;-209.00;RUR;Супермаркеты;
04.07.2024 00:26;04.07.2024;Списание по переводу З-В ЭНВЕР О;-2400.00;0.00;-2400.00;RUR;Финансовые услуги;
04.07.2024 19:13;04.07.2024;Покупка RUS s. Schastlivo IP Ziyadinova E. E.;596.00;0.00;596.00;RUR;;
